X,Y,Type,Item
19,3,OBSTACLE,7
20,3,OBSTACLE,7
21,3,WALKABLE,
22,3,OBSTACLE,8
23,3,OBSTACLE,8
24,3,WALKABLE,
25,3,OBSTACLE,9
26,3,OBSTACLE,9
27,3,WALKABLE,
28,3,OBSTACLE,10
29,3,OBSTACLE,10
30,3,WALKABLE,
0,4,WALKABLE,
1,4,OBSTACLE,1
2,4,OBSTACLE,1
3,4,WALKABLE,
4,4,OBSTACLE,2
5,4,OBSTACLE,2
6,4,WALKABLE,
7,4,OBSTACLE,3
8,4,OBSTACLE,3
9,4,WALKABLE,
10,4,OBSTACLE,4
11,4,OBSTACLE,4
12,4,WALKABLE,
13,4,OBSTACLE,5
14,4,OBSTACLE,5
15,4,WALKABLE,
16,4,OBSTACLE,6
17,4,OBSTACLE,6
18,4,WALKABLE,
19,4,OBSTACLE,7
20,4,OBSTACLE,7
21,4,WALKABLE,
22,4,OBSTACLE,8
23,4,OBSTACLE,8
24,4,WALKABLE,
25,4,OBSTACLE,9
26,4,OBSTACLE,9
27,4,WALKABLE,
28,4,OBSTACLE,10
29,4,OBSTACLE,10
30,4,WALKABLE,
0,5,WALKABLE,
1,5,OBSTACLE,1
2,5,OBSTACLE,1
3,5,WALKABLE,
4,5,OBSTACLE,2
5,5,OBSTACLE,2
6,5,WALKABLE,
7,5,OBSTACLE,3
8,5,OBSTACLE,3
9,5,WALKABLE,
10,5,OBSTACLE,4
11,5,OBSTACLE,4
12,5,WALKABLE,
13,5,OBSTACLE,5
14,5,OBSTACLE,5
15,5,WALKABLE,
16,5,OBSTACLE,6
17,5,OBSTACLE,6
18,5,WALKABLE,
19,5,OBSTACLE,7
20,5,OBSTACLE,7
21,5,WALKABLE,
22,5,OBSTACLE,8
23,5,OBSTACLE,8
24,5,WALKABLE,
25,5,OBSTACLE,9
26,5,OBSTACLE,9
27,5,WALKABLE,
28,5,OBSTACLE,10
29,5,OBSTACLE,10
30,5,WALKABLE,
0,6,WALKABLE,
1,6,WALKABLE,
2,6,WALKABLE,
3,6,WALKABLE,
4,6,WALKABLE,
5,6,WALKABLE,
6,6,WALKABLE,
7,6,WALKABLE,
8,6,WALKABLE,
9,6,WALKABLE,
10,6,WALKABLE,
11,6,WALKABLE,
12,6,WALKABLE,
13,6,WALKABLE,
14,6,WALKABLE,
15,6,WALKABLE,
16,6,WALKABLE,
17,6,WALKABLE,
18,6,WALKABLE,
19,6,WALKABLE,
20,6,WALKABLE,
21,6,WALKABLE,
22,6,WALKABLE,
23,6,WALKABLE,
24,6,WALKABLE,
25,6,WALKABLE,
26,6,WALKABLE,
27,6,WALKABLE,
28,6,WALKABLE,
29,6,WALKABLE,
30,6,WALKABLE,
0,7,WALKABLE,
1,7,OBSTACLE,1
2,7,OBSTACLE,1
3,7,WALKABLE,
4,7,OBSTACLE,2
5,7,OBSTACLE,2
6,7,WALKABLE,
7,7,OBSTACLE,3
8,7,OBSTACLE,3
9,7,WALKABLE,
10,7,OBSTACLE,4
11,7,OBSTACLE,4
12,7,WALKABLE,
13,7,OBSTACLE,5
14,7,OBSTACLE,5
15,7,WALKABLE,
16,7,OBSTACLE,6
17,7,OBSTACLE,6
18,7,WALKABLE,
19,7,OBSTACLE,7
20,7,OBSTACLE,7
21,7,WALKABLE,
22,7,OBSTACLE,8
23,7,OBSTACLE,8
24,7,WALKABLE,
25,7,OBSTACLE,9
26,7,OBSTACLE,9
27,7,WALKABLE,
28,7,OBSTACLE,10
29,7,OBSTACLE,10
30,7,WALKABLE,
0,8,WALKABLE,
1,8,OBSTACLE,1
2,8,OBSTACLE,1
3,8,WALKABLE,
4,8,OBSTACLE,2
5,8,OBSTACLE,2
6,8,WALKABLE,
7,8,OBSTACLE,3
8,8,OBSTACLE,3
9,8,WALKABLE,
10,8,OBSTACLE,4
11,8,OBSTACLE,4
12,8,WALKABLE,
13,8,OBSTACLE,5
14,8,OBSTACLE,5
15,8,WALKABLE,
16,8,OBSTACLE,6
17,8,OBSTACLE,6
18,8,WALKABLE,
19,8,OBSTACLE,7
20,8,OBSTACLE,7
21,8,WALKABLE,
22,8,OBSTACLE,8
23,8,OBSTACLE,8
24,8,WALKABLE,
25,8,OBSTACLE,9
26,8,OBSTACLE,9
27,8,WALKABLE,
28,8,OBSTACLE,10
29,8,OBSTACLE,10
30,8,WALKABLE,
0,9,WALKABLE,
1,9,OBSTACLE,1
2,9,OBSTACLE,1
3,9,WALKABLE,
4,9,OBSTACLE,2
5,9,OBSTACLE,2
6,9,WALKABLE,
7,9,OBSTACLE,3
8,9,OBSTACLE,3
9,9,WALKABLE,
10,9,OBSTACLE,4
11,9,OBSTACLE,4
12,9,WALKABLE,
13,9,OBSTACLE,5
14,9,OBSTACLE,5
15,9,WALKABLE,
16,9,OBSTACLE,6
17,9,OBSTACLE,6
18,9,WALKABLE,
19,9,OBSTACLE,7
20,9,OBSTACLE,7
21,9,WALKABLE,
22,9,OBSTACLE,8
23,9,OBSTACLE,8
24,9,WALKABLE,
25,9,OBSTACLE,9
26,9,OBSTACLE,9
27,9,WALKABLE,
28,9,OBSTACLE,10
29,9,OBSTACLE,10
30,9,WALKABLE,
0,10,WALKABLE,
1,10,OBSTACLE,1
2,10,OBSTACLE,1
3,10,WALKABLE,
4,10,OBSTACLE,2
5,10,OBSTACLE,2
6,10,WALKABLE,
7,10,OBSTACLE,3
8,10,OBSTACLE,3
9,10,WALKABLE,
10,10,OBSTACLE,4
11,10,OBSTACLE,4
12,10,WALKABLE,
13,10,OBSTACLE,5
14,10,OBSTACLE,5
15,10,WALKABLE,
16,10,OBSTACLE,6
17,10,OBSTACLE,6
18,10,WALKABLE,
19,10,OBSTACLE,7
20,10,OBSTACLE,7
21,10,WALKABLE,
22,10,OBSTACLE,8
23,10,OBSTACLE,8
24,10,WALKABLE,
25,10,OBSTACLE,9
26,10,OBSTACLE,9
27,10,WALKABLE,
28,10,OBSTACLE,10
29,10,OBSTACLE,10
30,10,WALKABLE,
0,11,WALKABLE,
1,11,OBSTACLE,1
2,11,OBSTACLE,1
3,11,WALKABLE,
4,11,OBSTACLE,2
5,11,OBSTACLE,2
6,11,WALKABLE,
7,11,OBSTACLE,3
8,11,OBSTACLE,3
9,11,WALKABLE,
10,11,OBSTACLE,4
11,11,OBSTACLE,4
12,11,WALKABLE,
13,11,OBSTACLE,5
14,11,OBSTACLE,5
15,11,WALKABLE,
16,11,OBSTACLE,6
17,11,OBSTACLE,6
18,11,WALKABLE,
19,11,OBSTACLE,7
20,11,OBSTACLE,7
21,11,WALKABLE,
22,11,OBSTACLE,8
23,11,OBSTACLE,8
24,11,WALKABLE,
25,11,OBSTACLE,9
26,11,OBSTACLE,9
27,11,WALKABLE,
28,11,OBSTACLE,10
29,11,OBSTACLE,10
30,11,WALKABLE,
0,12,WALKABLE,
1,12,WALKABLE,
2,12,WALKABLE,
3,12,WALKABLE,
4,12,WALKABLE,
5,12,WALKABLE,
6,12,WALKABLE,
7,12,WALKABLE,
8,12,WALKABLE,
9,12,WALKABLE,
10,12,WALKABLE,
11,12,WALKABLE,
12,12,WALKABLE,
13,12,WALKABLE,
14,12,WALKABLE,
15,12,WALKABLE,
16,12,WALKABLE,
17,12,WALKABLE,
18,12,WALKABLE,
19,12,WALKABLE,
20,12,WALKABLE,
21,12,WALKABLE,
22,12,WALKABLE,
23,12,WALKABLE,
24,12,WALKABLE,
25,12,WALKABLE,
26,12,WALKABLE,
27,12,WALKABLE,
28,12,WALKABLE,
29,12,WALKABLE,
30,12,WALKABLE,
0,13,WALKABLE,
1,13,OBSTACLE,1
2,13,OBSTACLE,1
3,13,WALKABLE,
4,13,OBSTACLE,2
5,13,OBSTACLE,2
6,13,WALKABLE,
7,13,OBSTACLE,3
8,13,OBSTACLE,3
9,13,WALKABLE,
10,13,OBSTACLE,4
11,13,OBSTACLE,4
12,13,WALKABLE,
13,13,OBSTACLE,5
14,13,OBSTACLE,5
15,13,WALKABLE,
16,13,OBSTACLE,6
17,13,OBSTACLE,6
18,13,WALKABLE,
19,13,OBSTACLE,7
20,13,OBSTACLE,7
21,13,WALKABLE,
22,13,OBSTACLE,8
23,13,OBSTACLE,8
24,13,WALKABLE,
25,13,OBSTACLE,9
26,13,OBSTACLE,9
27,13,WALKABLE,
28,13,OBSTACLE,10
29,13,OBSTACLE,10
30,13,WALKABLE,
0,14,WALKABLE,
1,14,OBSTACLE,1
2,14,OBSTACLE,1
3,14,WALKABLE,
4,14,OBSTACLE,2
5,14,OBSTACLE,2
6,14,WALKABLE,
7,14,OBSTACLE,3
8,14,OBSTACLE,3
9,14,WALKABLE,
10,14,OBSTACLE,4
11,14,OBSTACLE,4
12,14,WALKABLE,
13,14,OBSTACLE,5
14,14,OBSTACLE,5
15,14,WALKABLE,
16,14,OBSTACLE,6
17,14,OBSTACLE,6
18,14,WALKABLE,
19,14,OBSTACLE,7
20,14,OBSTACLE,7
21,14,WALKABLE,
22,14,OBSTACLE,8
23,14,OBSTACLE,8
24,14,WALKABLE,
25,14,OBSTACLE,9
26,14,OBSTACLE,9
27,14,WALKABLE,
28,14,OBSTACLE,10
29,14,OBSTACLE,10
30,14,WALKABLE,
0,15,WALKABLE,
1,15,OBSTACLE,1
2,15,OBSTACLE,1
3,15,WALKABLE,
4,15,OBSTACLE,2
5,15,OBSTACLE,2
6,15,WALKABLE,
7,15,OBSTACLE,3
8,15,OBSTACLE,3
9,15,WALKABLE,
10,15,OBSTACLE,4
11,15,OBSTACLE,4
12,15,WALKABLE,
13,15,OBSTACLE,5
14,15,OBSTACLE,5
15,15,WALKABLE,
16,15,OBSTACLE,6
17,15,OBSTACLE,6
18,15,WALKABLE,
19,15,OBSTACLE,7
20,15,OBSTACLE,7
21,15,WALKABLE,
22,15,OBSTACLE,8
23,15,OBSTACLE,8
24,15,WALKABLE,
25,15,OBSTACLE,9
26,15,OBSTACLE,9
27,15,WALKABLE,
28,15,OBSTACLE,10
29,15,OBSTACLE,10
30,15,WALKABLE,
0,16,WALKABLE,
1,16,OBSTACLE,1
2,16,OBSTACLE,1
3,16,WALKABLE,
4,16,OBSTACLE,2
5,16,OBSTACLE,2
6,16,WALKABLE,
7,16,OBSTACLE,3
8,16,OBSTACLE,3
9,16,WALKABLE,
10,16,OBSTACLE,4
11,16,OBSTACLE,4
12,16,WALKABLE,
13,16,OBSTACLE,5
14,16,OBSTACLE,5
15,16,WALKABLE,
16,16,OBSTACLE,6
17,16,OBSTACLE,6
18,16,WALKABLE,
19,16,OBSTACLE,7
20,16,OBSTACLE,7
21,16,WALKABLE,
22,16,OBSTACLE,8
23,16,OBSTACLE,8
24,16,WALKABLE,
25,16,OBSTACLE,9
26,16,OBSTACLE,9
27,16,WALKABLE,
28,16,OBSTACLE,10
29,16,OBSTACLE,10
30,16,WALKABLE,
0,17,WALKABLE,
1,17,OBSTACLE,1
2,17,OBSTACLE,1
3,17,WALKABLE,
4,17,OBSTACLE,2
5,17,OBSTACLE,2
6,17,WALKABLE,
7,17,OBSTACLE,3
8,17,OBSTACLE,3
9,17,WALKABLE,
10,17,OBSTACLE,4
11,17,OBSTACLE,4
12,17,WALKABLE,
13,17,OBSTACLE,5
14,17,OBSTACLE,5
15,17,WALKABLE,
16,17,OBSTACLE,6
17,17,OBSTACLE,6
18,17,WALKABLE,
19,17,OBSTACLE,7
20,17,OBSTACLE,7
21,17,WALKABLE,
22,17,OBSTACLE,8
23,17,OBSTACLE,8
24,17,WALKABLE,
25,17,OBSTACLE,9
26,17,OBSTACLE,9
27,17,WALKABLE,
28,17,OBSTACLE,10
29,17,OBSTACLE,10
30,17,WALKABLE,
0,18,WALKABLE,
1,18,WALKABLE,
2,18,WALKABLE,
3,18,WALKABLE,
4,18,WALKABLE,
5,18,WALKABLE,
6,18,WALKABLE,
7,18,WALKABLE,
8,18,WALKABLE,
9,18,WALKABLE,
10,18,WALKABLE,
11,18,WALKABLE,
12,18,WALKABLE,
13,18,WALKABLE,
14,18,WALKABLE,
15,18,WALKABLE,
16,18,WALKABLE,
17,18,WALKABLE,
18,18,WALKABLE,
19,18,WALKABLE,
20,18,WALKABLE,
21,18,WALKABLE,
22,18,WALKABLE,
23,18,WALKABLE,
24,18,WALKABLE,
25,18,WALKABLE,
26,18,WALKABLE,
27,18,WALKABLE,
28,18,WALKABLE,
29,18,WALKABLE,
30,18,WALKABLE,
0,19,WALKABLE,
1,19,OBSTACLE,1
2,19,OBSTACLE,1
3,19,WALKABLE,
4,19,OBSTACLE,2
5,19,OBSTACLE,2
6,19,WALKABLE,
7,19,OBSTACLE,3
8,19,OBSTACLE,3
9,19,WALKABLE,
10,19,OBSTACLE,4
11,19,OBSTACLE,4
12,19,WALKABLE,
13,19,OBSTACLE,5
14,19,OBSTACLE,5
15,19,WALKABLE,
16,19,OBSTACLE,6
17,19,OBSTACLE,6
18,19,WALKABLE,
19,19,OBSTACLE,7
20,19,OBSTACLE,7
21,19,WALKABLE,
22,19,OBSTACLE,8
23,19,OBSTACLE,8
24,19,WALKABLE,
25,19,OBSTACLE,9
26,19,OBSTACLE,9
27,19,WALKABLE,
28,19,OBSTACLE,10
29,19,OBSTACLE,10
30,19,WALKABLE,
0,20,WALKABLE,
1,20,OBSTACLE,1
2,20,OBSTACLE,1
3,20,WALKABLE,
4,20,OBSTACLE,2
5,20,OBSTACLE,2
6,20,WALKABLE,
7,20,OBSTACLE,3
8,20,OBSTACLE,3
9,20,WALKABLE,
10,20,OBSTACLE,4
11,20,OBSTACLE,4
12,20,WALKABLE,
13,20,OBSTACLE,5
14,20,OBSTACLE,5
15,20,WALKABLE,
16,20,OBSTACLE,6
17,20,OBSTACLE,6
18,20,WALKABLE,
19,20,OBSTACLE,7
20,20,OBSTACLE,7
21,20,WALKABLE,
22,20,OBSTACLE,8
23,20,OBSTACLE,8
24,20,WALKABLE,
25,20,OBSTACLE,9
26,20,OBSTACLE,9
27,20,WALKABLE,
28,20,OBSTACLE,10
29,20,OBSTACLE,10
30,20,WALKABLE,
0,21,WALKABLE,
1,21,OBSTACLE,1
2,21,OBSTACLE,1
3,21,WALKABLE,
4,21,OBSTACLE,2
5,21,OBSTACLE,2
6,21,WALKABLE,
7,21,OBSTACLE,3
8,21,OBSTACLE,3
9,21,WALKABLE,
10,21,OBSTACLE,4
11,21,OBSTACLE,4
12,21,WALKABLE,
13,21,OBSTACLE,5
14,21,OBSTACLE,5
15,21,WALKABLE,
16,21,OBSTACLE,6
17,21,OBSTACLE,6
18,21,WALKABLE,
19,21,OBSTACLE,7
20,21,OBSTACLE,7
21,21,WALKABLE,
22,21,OBSTACLE,8
23,21,OBSTACLE,8
24,21,WALKABLE,
25,21,OBSTACLE,9
26,21,OBSTACLE,9
27,21,WALKABLE,
28,21,OBSTACLE,10
29,21,OBSTACLE,10
30,21,WALKABLE,
0,22,WALKABLE,
1,22,OBSTACLE,1
2,22,OBSTACLE,1
3,22,WALKABLE,
4,22,OBSTACLE,2
5,22,OBSTACLE,2
6,22,WALKABLE,
7,22,OBSTACLE,3
8,22,OBSTACLE,3
9,22,WALKABLE,
10,22,OBSTACLE,4
11,22,OBSTACLE,4
12,22,WALKABLE,
13,22,OBSTACLE,5
14,22,OBSTACLE,5
15,22,WALKABLE,
16,22,OBSTACLE,6
17,22,OBSTACLE,6
18,22,WALKABLE,
19,22,OBSTACLE,7
20,22,OBSTACLE,7
21,22,WALKABLE,
22,22,OBSTACLE,8
23,22,OBSTACLE,8
24,22,WALKABLE,
25,22,OBSTACLE,9
26,22,OBSTACLE,9
27,22,WALKABLE,
28,22,OBSTACLE,10
29,22,OBSTACLE,10
30,22,WALKABLE,
0,23,WALKABLE,
1,23,OBSTACLE,1
2,23,OBSTACLE,1
3,23,WALKABLE,
4,23,OBSTACLE,2
5,23,OBSTACLE,2
6,23,WALKABLE,
7,23,OBSTACLE,3
8,23,OBSTACLE,3
9,23,WALKABLE,
10,23,OBSTACLE,4
11,23,OBSTACLE,4
12,23,WALKABLE,
13,23,OBSTACLE,5
14,23,OBSTACLE,5
15,23,WALKABLE,
16,23,OBSTACLE,6
17,23,OBSTACLE,6
18,23,WALKABLE,
19,23,OBSTACLE,7
20,23,OBSTACLE,7
21,23,WALKABLE,
22,23,OBSTACLE,8
23,23,OBSTACLE,8
24,23,WALKABLE,
25,23,OBSTACLE,9
26,23,OBSTACLE,9
27,23,WALKABLE,
28,23,OBSTACLE,10
29,23,OBSTACLE,10
30,23,WALKABLE,
0,24,WALKABLE,
1,24,WALKABLE,
2,24,WALKABLE,
3,24,WALKABLE,
4,24,WALKABLE,
5,24,WALKABLE,
6,24,WALKABLE,
7,24,WALKABLE,
8,24,WALKABLE,
9,24,WALKABLE,
10,24,WALKABLE,
11,24,WALKABLE,
12,24,WALKABLE,
13,24,WALKABLE,
14,24,WALKABLE,
15,24,WALKABLE,
16,24,WALKABLE,
17,24,WALKABLE,
18,24,WALKABLE,
19,24,WALKABLE,
20,24,WALKABLE,
21,24,WALKABLE,
22,24,WALKABLE,
23,24,WALKABLE,
24,24,WALKABLE,
25,24,WALKABLE,
26,24,WALKABLE,
27,24,WALKABLE,
28,24,WALKABLE,
29,24,WALKABLE,
30,24,WALKABLE,
0,25,WALKABLE,
1,25,OBSTACLE,1
2,25,OBSTACLE,1
3,25,WALKABLE,
4,25,OBSTACLE,2
5,25,OBSTACLE,2
6,25,WALKABLE,
7,25,OBSTACLE,3
8,25,OBSTACLE,3
9,25,WALKABLE,
10,25,OBSTACLE,4
11,25,OBSTACLE,4
12,25,WALKABLE,
13,25,OBSTACLE,5
14,25,OBSTACLE,5
15,25,WALKABLE,
16,25,OBSTACLE,6
17,25,OBSTACLE,6
18,25,WALKABLE,
19,25,OBSTACLE,7
20,25,OBSTACLE,7
21,25,WALKABLE,
22,25,OBSTACLE,8
23,25,OBSTACLE,8
24,25,WALKABLE,
25,25,OBSTACLE,9
26,25,OBSTACLE,9
27,25,WALKABLE,
28,25,OBSTACLE,10
29,25,OBSTACLE,10
30,25,WALKABLE,
0,26,WALKABLE,
1,26,OBSTACLE,1
2,26,OBSTACLE,1
3,26,WALKABLE,
4,26,OBSTACLE,2
5,26,OBSTACLE,2
6,26,WALKABLE,
7,26,OBSTACLE,3
8,26,OBSTACLE,3
9,26,WALKABLE,
10,26,OBSTACLE,4
11,26,OBSTACLE,4
12,26,WALKABLE,
13,26,OBSTACLE,5
14,26,OBSTACLE,5
15,26,WALKABLE,
16,26,OBSTACLE,6
17,26,OBSTACLE,6
18,26,WALKABLE,
19,26,OBSTACLE,7
20,26,OBSTACLE,7
21,26,WALKABLE,
22,26,OBSTACLE,8
23,26,OBSTACLE,8
24,26,WALKABLE,
25,26,OBSTACLE,9
26,26,OBSTACLE,9
27,26,WALKABLE,
28,26,OBSTACLE,10
29,26,OBSTACLE,10
30,26,WALKABLE,
0,27,WALKABLE,
1,27,OBSTACLE,1
2,27,OBSTACLE,1
3,27,WALKABLE,
4,27,OBSTACLE,2
5,27,OBSTACLE,2
6,27,WALKABLE,
7,27,OBSTACLE,3
8,27,OBSTACLE,3
9,27,WALKABLE,
10,27,OBSTACLE,4
11,27,OBSTACLE,4
12,27,WALKABLE,
13,27,OBSTACLE,5
14,27,OBSTACLE,5
15,27,WALKABLE,
16,27,OBSTACLE,6
17,27,OBSTACLE,6
18,27,WALKABLE,
19,27,OBSTACLE,7
20,27,OBSTACLE,7
21,27,WALKABLE,
22,27,OBSTACLE,8
23,27,OBSTACLE,8
24,27,WALKABLE,
25,27,OBSTACLE,9
26,27,OBSTACLE,9
27,27,WALKABLE,
28,27,OBSTACLE,10
29,27,OBSTACLE,10
30,27,WALKABLE,
0,28,WALKABLE,
1,28,OBSTACLE,1
2,28,OBSTACLE,1
3,28,WALKABLE,
4,28,OBSTACLE,2
5,28,OBSTACLE,2
6,28,WALKABLE,
7,28,OBSTACLE,3
8,28,OBSTACLE,3
9,28,WALKABLE,
10,28,OBSTACLE,4
11,28,OBSTACLE,4
12,28,WALKABLE,
13,28,OBSTACLE,5
14,28,OBSTACLE,5
15,28,WALKABLE,
16,28,OBSTACLE,6
17,28,OBSTACLE,6
18,28,WALKABLE,
19,28,OBSTACLE,7
20,28,OBSTACLE,7
21,28,WALKABLE,
22,28,OBSTACLE,8
23,28,OBSTACLE,8
24,28,WALKABLE,
25,28,OBSTACLE,9
26,28,OBSTACLE,9
27,28,WALKABLE,
28,28,OBSTACLE,10
29,28,OBSTACLE,10
30,28,WALKABLE,
0,29,WALKABLE,
1,29,OBSTACLE,1
2,29,OBSTACLE,1
3,29,WALKABLE,
4,29,OBSTACLE,2
5,29,OBSTACLE,2
6,29,WALKABLE,
7,29,OBSTACLE,3
8,29,OBSTACLE,3
9,29,WALKABLE,
10,29,OBSTACLE,4
11,29,OBSTACLE,4
12,29,WALKABLE,
13,29,OBSTACLE,5
14,29,OBSTACLE,5
15,29,WALKABLE,
16,29,OBSTACLE,6
17,29,OBSTACLE,6
18,29,WALKABLE,
19,29,OBSTACLE,7
20,29,OBSTACLE,7
21,29,WALKABLE,
22,29,OBSTACLE,8
23,29,OBSTACLE,8
24,29,WALKABLE,
25,29,OBSTACLE,9
26,29,OBSTACLE,9
27,29,WALKABLE,
28,29,OBSTACLE,10
29,29,OBSTACLE,10
30,29,WALKABLE,
0,30,WALKABLE,
1,30,WALKABLE,
2,30,WALKABLE,
3,30,WALKABLE,
4,30,WALKABLE,
5,30,WALKABLE,
6,30,WALKABLE,
7,30,WALKABLE,
8,30,WALKABLE,
9,30,WALKABLE,
10,30,WALKABLE,
11,30,WALKABLE,
12,30,WALKABLE,
13,30,WALKABLE,
14,30,WALKABLE,
15,30,WALKABLE,
16,30,WALKABLE,
17,30,WALKABLE,
18,30,WALKABLE,
19,30,WALKABLE,
20,30,WALKABLE,
21,30,WALKABLE,
22,30,WALKABLE,
23,30,WALKABLE,
24,30,WALKABLE,
25,30,WALKABLE,
26,30,WALKABLE,
27,30,WALKABLE,
28,30,WALKABLE,
29,30,WALKABLE,
30,30,WALKABLE,
0,31,WALKABLE,
1,31,OBSTACLE,1
2,31,OBSTACLE,1
3,31,WALKABLE,
4,31,OBSTACLE,2
5,31,OBSTACLE,2
6,31,WALKABLE,
7,31,OBSTACLE,3
8,31,OBSTACLE,3
9,31,WALKABLE,
10,31,OBSTACLE,4
11,31,OBSTACLE,4
12,31,WALKABLE,
13,31,OBSTACLE,5
14,31,OBSTACLE,5
15,31,WALKABLE,
16,31,OBSTACLE,6
17,31,OBSTACLE,6
18,31,WALKABLE,
19,31,OBSTACLE,7
20,31,OBSTACLE,7
21,31,WALKABLE,
22,31,OBSTACLE,8
23,31,OBSTACLE,8
24,31,WALKABLE,
25,31,OBSTACLE,9
26,31,OBSTACLE,9
27,31,WALKABLE,
28,31,OBSTACLE,10
29,31,OBSTACLE,10
30,31,WALKABLE,
0,32,WALKABLE,
1,32,OBSTACLE,1
2,32,OBSTACLE,1
3,32,WALKABLE,
4,32,OBSTACLE,2
5,32,OBSTACLE,2
6,32,WALKABLE,
7,32,OBSTACLE,3
8,32,OBSTACLE,3
9,32,WALKABLE,
10,32,OBSTACLE,4
11,32,OBSTACLE,4
12,32,WALKABLE,
13,32,OBSTACLE,5
14,32,OBSTACLE,5
15,32,WALKABLE,
16,32,OBSTACLE,6
17,32,OBSTACLE,6
18,32,WALKABLE,
19,32,OBSTACLE,7
20,32,OBSTACLE,7
21,32,WALKABLE,
22,32,OBSTACLE,8
23,32,OBSTACLE,8
24,32,WALKABLE,
25,32,OBSTACLE,9
26,32,OBSTACLE,9
27,32,WALKABLE,
28,32,OBSTACLE,10
29,32,OBSTACLE,10
30,32,WALKABLE,
0,33,WALKABLE,
1,33,OBSTACLE,1
2,33,OBSTACLE,1
3,33,WALKABLE,
4,33,OBSTACLE,2
5,33,OBSTACLE,2
6,33,WALKABLE,
7,33,OBSTACLE,3
8,33,OBSTACLE,3
9,33,WALKABLE,
10,33,OBSTACLE,4
11,33,OBSTACLE,4
12,33,WALKABLE,
13,33,OBSTACLE,5
14,33,OBSTACLE,5
15,33,WALKABLE,
16,33,OBSTACLE,6
17,33,OBSTACLE,6
18,33,WALKABLE,
19,33,OBSTACLE,7
20,33,OBSTACLE,7
21,33,WALKABLE,
22,33,OBSTACLE,8
23,33,OBSTACLE,8
24,33,WALKABLE,
25,33,OBSTACLE,9
26,33,OBSTACLE,9
27,33,WALKABLE,
28,33,OBSTACLE,10
29,33,OBSTACLE,10
30,33,WALKABLE,
0,34,WALKABLE,
1,34,OBSTACLE,1
2,34,OBSTACLE,1
3,34,WALKABLE,
4,34,OBSTACLE,2
5,34,OBSTACLE,2
6,34,WALKABLE,
7,34,OBSTACLE,3
8,34,OBSTACLE,3
9,34,WALKABLE,
10,34,OBSTACLE,4
11,34,OBSTACLE,4
12,34,WALKABLE,
13,34,OBSTACLE,5
14,34,OBSTACLE,5
